	original_name	unified_name	category
215	CDX2	CDX2	MARKER
216	blank_4	BLANK_4	TECHNICAL
217	CDH18	CDH18	MARKER
218	CD31	PECAM1	MARKER
219	Perforin-1	PRF1	MARKER
220	SMActin	ACTA2	MARKER
221	DAPI-02	DAPI	TECHNICAL
222	INS	INS	MARKER
223	MUC6	MUC6	MARKER
224	KRT20	KRT20	MARKER
225	DNA8	DNA8	TECHNICAL
226	Na-K-ATPase	ATP1A1	MARKER
227	GZMB	GZMB	MARKER
228	CD68	CD68	MARKER
229	CASPASE3	CASP3_CLEAVED	MARKER
230	MHC class II antigen DPB1	HLA_DPB1	MARKER
231	Keratin19	KRT19	MARKER
232	CD66	CEACAM6	MARKER
233	CD107B	LAMP1	MARKER
234	HISTONE_H3	HISTONEH3	MARKER
235	IBA1	IBA1	MARKER
236	CHAT	CHAT	MARKER
237	S100	S100	MARKER
238	CD49a	ITGA1	MARKER
239	Hoechst1	HOECHST	TECHNICAL
240	CK5	KRT5	MARKER
241	CCNA2	CCNA2	MARKER
242	Podoplan	PODOPLANIN	MARKER
243	actin	ACTB	MARKER
244	Phospho-Histone H2AX (Ser139)	H2AX_PHOSPHO	MARKER
245	BCATENIN	BCATENIN	MARKER
246	CD7	CD7	MARKER
247	CDKN1B_1	CDKN1B	MARKER
248	CDKN1C	CDKN1C	MARKER
249	E-CAD	CDH1	MARKER
250	ECAD	CDH1	MARKER
251	blank_7	BLANK_7	TECHNICAL
252	CollIV	COLLAGEN_IV	MARKER
253	Somatostatin	SST	MARKER
254	MS4A1	MS4A1	MARKER
255	HLA_ABC	HLA_ABC	MARKER
256	Glucose Transporter	SLC2A1	MARKER
257	ICOS	ICOS	MARKER
258	G2/mitotic-specific cyclin-B1	CCNB1	MARKER
259	KRT17	KRT17	MARKER
260	CD5	CD5	MARKER
261	HLA-DRA	HLA_DRA	MARKER
262	NOS2	NOS2	MARKER
263	Caspase_3	CASP3_CLEAVED	MARKER
264	HER2	ERBB2	MARKER
265	CD141	THBD	MARKER
266	Histone3	HISTONEH3	MARKER
267	NKX6-1	NKX6_1	MARKER
268	ECADHERIN	CDH1	MARKER
269	KRAS	KRAS	MARKER
270	CD90	THY1	MARKER
271	ER	ESR1	MARKER
272	PMTOR	MTOR_PHOSPHO	MARKER
273	MEK12	MAP2K1_PHOSPHO	MARKER
274	AlphaSMA	ACTA2	MARKER
275	AMY2A	AMY2A	MARKER
276	CD40LG	CD40LG	MARKER
277	PTPRN	PTPRN	MARKER
278	CXCL12	CXCL12	MARKER
279	CD11C	ITGAX	MARKER
280	CD99	CD99	MARKER
281	HLA-ABC_ATP1A1	HLA_ABC	MARKER
282	40S ribosomal protein S6	RPS6	MARKER
283	VIM	VIMENTIN	MARKER
284	BCL2	BCL2	MARKER
285	PDPN	PODOPLANIN	MARKER
286	CD107a	LAMP1	MARKER
287	TAZ	WWTR1	MARKER
288	HOECHST1	HOECHST	TECHNICAL
289	HLA-ABC	HLA_ABC	MARKER
290	IL7R	IL7R	MARKER
291	KI67	MKI67	MARKER
292	Granz-B	GZMB	MARKER
293	p53	TP53	MARKER
294	ERBB2	ERBB2	MARKER
295	Keratin818	KRT8_18	MARKER
296	IL3RA	IL3RA	MARKER
297	NCAM1	NCAM1	MARKER
298	CD274	CD274	MARKER
299	DNA9	DNA9	TECHNICAL
300	CD33	CD33	MARKER
301	CD2	CD2	MARKER
302	Pan-protein kinase Akt	AKT	MARKER
303	CD127	IL7R	MARKER
304	DNA4	DNA4	TECHNICAL
305	MHCI	HLA_ABC	MARKER
306	Ki67	MKI67	MARKER
307	PD-1	PDCD1	MARKER
308	MUC-1	MUC1	MARKER
309	CD21	CD21	MARKER
310	panCK	PANCYTOKERATIN	MARKER
311	CD14	CD14	MARKER
312	PS6	RPS6_PHOSPHO	MARKER
313	pERK	ERK_PHOSPHO	MARKER
314	CR2	CR2	MARKER
315	KRT14	KRT14	MARKER
316	CK5-6	KRT5_6	MARKER
317	KRTPAN	PANCYTOKERATIN	MARKER
318	Twist	TWIST1	MARKER
319	DNA7	DNA7	TECHNICAL
320	PanCytoK	PANCYTOKERATIN	MARKER
321	Slug	SNAI2	MARKER
322	blank_5	BLANK_5	TECHNICAL
323	Annexin	ANXA1	MARKER
324	CD16	FCGR3A	MARKER
325	HER2_3B5	ERBB2	AMBIGUOUS
326	Phospho-protein NDRG1 (Thr346)	NDRG1_PHOSPHO	MARKER
327	MPO	MPO	MARKER
328	PMEK12	MAP2K1_PHOSPHO	MARKER
329	CD271	NGFR	MARKER
330	oldCD11b	ITGAM	MARKER
331	p63	TP63	MARKER
332	ESR1	ESR1	MARKER
333	SNAT1	SLC38A1	MARKER
334	Phospho-tyrosine	PHOSPHO_TYROSINE	MARKER
335	CK7	KRT7	MARKER
336	FSP1	S100A4	MARKER
337	p_AMPK	PRKAA_PHOSPHO	MARKER
338	PERK12	PHOSPHO_EIF2AK3	MARKER
339	CD71	TFRC	MARKER
340	PR	PGR	MARKER
341	GCG	GCG	MARKER
342	CD31_VWF	VWF	MARKER
343	CD207	CD207	MARKER
344	CD45RA	PTPRC	MARKER
345	SARSCoV2S1	SARSCoV2S1	TECHNICAL
346	G1/S-specific cyclin-D1	CCND1	MARKER
347	GFAP	GFAP	MARKER
348	DNA	DNA	TECHNICAL
349	OLFM4	OLFM4	MARKER
350	CD185 (CXCR5)	CXCR5	MARKER
351	CD56	NCAM1	MARKER
352	Vimentin	VIMENTIN	MARKER
353	CD20	MS4A1	MARKER
354	IAPP	IAPP	MARKER
355	CD38	CD38	MARKER
356	NKG2G	KLRK1	MARKER
357	DNA3	DNA3	TECHNICAL
358	IL1beta	IL1B	MARKER
359	PODOPLANIN	PODOPLANIN	MARKER
360	CK19	KRT19	MARKER
361	aSMA	ACTA2	MARKER
362	PH3	PH3	MARKER
363	blank_1	BLANK_1	TECHNICAL
364	Glypican3	GPC3	MARKER
365	OX40	TNFRSF4	MARKER
366	HER2_D8F12	ERBB2	AMBIGUOUS
367	TIM3	HAVCR2	MARKER
368	CD45RO	PTPRC	MARKER
369	HLADR	HLA_DRA	MARKER
370	Androgen receptor	AR	MARKER
371	BCL-2	BCL2	MARKER
372	PD-L1	CD274	MARKER
373	SOX9	SOX9	MARKER
374	CD32	FCGR2A	MARKER
375	CD98	SLC3A2	MARKER
376	E-Cadherin	CDH1	MARKER
377	Annexin A1	ANXA1	MARKER
378	blank_3	BLANK_3	TECHNICAL
379	CD161	KLRB1	MARKER
380	COLLAGENI	COLLAGEN1	MARKER
381	CAVEOLIN_1	CAV1	MARKER
382	DNA6	DNA6	TECHNICAL
383	Phospho-40S ribosomal protein S6 (Ser240, Ser244)	RPS6_PHOSPHO	MARKER
384	CD3d	CD3E	MARKER
385	CD3E	CD3E	MARKER
386	blank_2	BLANK_2	TECHNICAL
387	Collagen IV	COLLAGEN_IV	MARKER
388	CD117	KIT	MARKER
389	CD103	ITGAE	MARKER
390	cPARP1	CASP3_CLEAVED	MARKER
391	PD_L1	CD274	MARKER
392	DAPI	DAPI	TECHNICAL
393	podoplanin	PODOPLANIN	MARKER
394	Cytokeratin	KRT	MARKER
395	CD294	CCR10	MARKER
396	PGP95	ABCC8	MARKER
397	ITGAX	ITGAX	MARKER
398	TBR2	EOMES	MARKER
399	MMP9	MMP9	MARKER
400	collagen IV	COLLAGEN_IV	MARKER
401	CD29	ITGB1	MARKER
402	HIST1H3A	HIST1H3A	MARKER
403	CD8A	CD8A	MARKER
404	Channel:0:43	CHANNEL_0_43	TECHNICAL
405	KRT8_18	KRT8_18	MARKER
406	C5bC9	C5B9	MARKER
407	FAP	FAP	MARKER
408	CD40	CD40	MARKER
409	Ki-67	MKI67	MARKER
410	DRAQ5	DRAQ5	TECHNICAL
411	E-cadherin	CDH1	MARKER
412	CCND1	CCND1	MARKER
413	CDK2	CDK2	MARKER
414	DNA1	DNA1	TECHNICAL
415	blank_6	BLANK_6	TECHNICAL
416	NaKATPase	ATP1A1	MARKER
417	CD30	CD30	MARKER
418	KRT19	KRT19	MARKER
419	LaminABC	LMNA_BC	MARKER
420	H3	HISTONEH3	MARKER
421	CD54	ICAM1	MARKER
422	CD138	SDC1	MARKER
423	Cyclin-A2	CCNA2	MARKER
424	FCGR3A	FCGR3A	MARKER
425	CD1C	CD1C	MARKER
426	KRT13	KRT13	MARKER
427	Twist1	TWIST1	MARKER
428	HIF1A	HIF1A	MARKER
429	Podoplanin	PODOPLANIN	MARKER
430	Antigen Ki67 (2)	MKI67	MARKER
431	PD_1	PDCD1	MARKER
432	PDL1	CD274	MARKER
433	CD163	CD163	MARKER
434	Transcription factor SOX-2	SOX2	MARKER
435	Synapt	SYNAPTOPHYSIN	MARKER
436	LILRB1	LILRB1	MARKER
437	ISG20	ISG20	MARKER
438	COX2	PTGS2	MARKER
439	FOXP3	FOXP3	MARKER
440	Ecadherin	CDH1	MARKER
441	Fibronectin	FN1	MARKER
442	PANCK	PANCYTOKERATIN	MARKER
443	p27Kip1	CDKN1B	MARKER
444	MMP12	MMP12	MARKER
445	BCAT	BCATENIN	MARKER
